unix_s,pod,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_max_fds,gateway_heap_inuse_bytes,gateway_goroutines,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786846366,gateway-94bdcf695-9bt4s,0,1.8563072e+07,0.03,48,1.048576e+06,5.40672e+06,31,0,28655616,163864990
1786846366,gateway-94bdcf695-ccn2t,0,1.9349504e+07,0.03,48,1.048576e+06,5.455872e+06,32,0,28655616,163864990
1786846366,gateway-94bdcf695-p8pgc,0,2.0074496e+07,0.04,48,1.048576e+06,6.520832e+06,31,0,28655616,163864990
1786846368,gateway-94bdcf695-9bt4s,4689,2.13336064e+08,1.75,4833,1.048576e+06,1.15654656e+08,13736,0,683933696,167545166
1786846368,gateway-94bdcf695-ccn2t,4834,2.19889664e+08,1.77,4979,1.048576e+06,1.19308288e+08,14148,0,683933696,167545166
1786846368,gateway-94bdcf695-p8pgc,4973,2.30313984e+08,1.84,5116,1.048576e+06,1.255424e+08,14684,0,683933696,167545166
1786846370,gateway-94bdcf695-9bt4s,13733,5.91609856e+08,5.23,13876,1.048576e+06,3.17186048e+08,40553,0,816939008,171747547
1786846370,gateway-94bdcf695-ccn2t,13876,5.9998208e+08,5.26,14022,1.048576e+06,3.19397888e+08,41342,0,816939008,171747547
1786846371,gateway-94bdcf695-p8pgc,14020,6.0827648e+08,5.29,14164,1.048576e+06,3.2272384e+08,42075,0,816939008,171747547
1786846373,gateway-94bdcf695-9bt4s,22989,1.000988672e+09,8.56,23135,1.048576e+06,5.3960704e+08,68994,0,978239488,176148278
1786846373,gateway-94bdcf695-ccn2t,23092,1.00630528e+09,8.51,23238,1.048576e+06,5.41351936e+08,69305,0,978239488,176148278
1786846373,gateway-94bdcf695-p8pgc,23206,1.003425792e+09,8.77,23351,1.048576e+06,5.33331968e+08,68646,0,978239488,176148278
1786846375,gateway-94bdcf695-9bt4s,29038,1.23875328e+09,11.16,29301,1.048576e+06,6.58890752e+08,87165,0,1174065152,183314994
1786846375,gateway-94bdcf695-ccn2t,29112,1.24223488e+09,11.09,29331,1.048576e+06,6.6048e+08,87303,0,1174065152,183314994
1786846375,gateway-94bdcf695-p8pgc,29156,1.241976832e+09,11.01,29395,1.048576e+06,6.60226048e+08,87486,0,1174065152,183314994
1786846377,gateway-94bdcf695-9bt4s,31266,1.330061312e+09,12.02,31533,1.048576e+06,7.06740224e+08,93869,0,1219850240,196444852
1786846377,gateway-94bdcf695-ccn2t,31609,1.34504448e+09,12.07,31866,1.048576e+06,7.1532544e+08,94858,0,1219850240,196444852
1786846378,gateway-94bdcf695-p8pgc,31929,1.365344256e+09,12.07,32184,1.048576e+06,7.28711168e+08,95841,0,1219850240,196444852
1786846380,gateway-94bdcf695-9bt4s,34266,1.460084736e+09,13.11,34497,1.048576e+06,7.77887744e+08,102782,0,1242296320,214123042
1786846380,gateway-94bdcf695-ccn2t,34515,1.471660032e+09,13.12,34785,1.048576e+06,7.85022976e+08,103570,0,1242296320,214123042
1786846380,gateway-94bdcf695-p8pgc,34809,1.489076224e+09,13.89,35076,1.048576e+06,7.83040512e+08,104473,0,1242296320,214123042
1786846383,gateway-94bdcf695-9bt4s,37153,1.564155904e+09,15.05,37377,1.048576e+06,8.24573952e+08,111416,0,1264099328,231379310
1786846383,gateway-94bdcf695-ccn2t,37457,1.579925504e+09,15.73,37682,1.048576e+06,8.31881216e+08,112301,0,1264099328,231379310
1786846383,gateway-94bdcf695-p8pgc,37613,1.58973952e+09,16.13,37854,1.048576e+06,8.3677184e+08,112870,0,1264099328,231379310
1786846385,gateway-94bdcf695-9bt4s,39348,1.652371456e+09,20.03,39624,1.048576e+06,8.66205696e+08,118104,0,1291829248,245263197
1786846385,gateway-94bdcf695-ccn2t,39537,1.657864192e+09,20.3,39743,1.048576e+06,8.68581376e+08,118428,0,1291829248,245263197
1786846386,gateway-94bdcf695-p8pgc,39646,1.66647808e+09,20.47,39909,1.048576e+06,8.73783296e+08,119014,0,1291829248,245263197
1786846388,gateway-94bdcf695-9bt4s,41917,1.75296512e+09,25.04,42153,1.048576e+06,9.15111936e+08,125774,0,1372524544,260790743
1786846388,gateway-94bdcf695-ccn2t,41945,1.7574912e+09,25.16,42203,1.048576e+06,9.1656192e+08,125909,0,1372524544,260790743
1786846388,gateway-94bdcf695-p8pgc,42261,1.76930816e+09,25.53,42452,1.048576e+06,9.24024832e+08,126744,0,1372524544,260790743
1786846390,gateway-94bdcf695-9bt4s,44394,1.853075456e+09,29.69,44627,1.048576e+06,9.66180864e+08,133180,0,1454047232,275291358
1786846391,gateway-94bdcf695-ccn2t,44663,1.866440704e+09,30.24,44914,1.048576e+06,9.72898304e+08,134066,0,1454047232,275291358
1786846391,gateway-94bdcf695-p8pgc,44910,1.875632128e+09,30.54,45146,1.048576e+06,9.77846272e+08,134689,0,1454047232,275291358
1786846393,gateway-94bdcf695-9bt4s,47209,1.966276608e+09,35.07,47415,1.048576e+06,1.02387712e+09,141485,0,1553371136,292363533
1786846393,gateway-94bdcf695-ccn2t,47299,1.969831936e+09,35.25,47504,1.048576e+06,1.025736704e+09,141921,0,1553371136,292363533
1786846393,gateway-94bdcf695-p8pgc,47549,1.980338176e+09,35.62,47774,1.048576e+06,1.032658944e+09,142619,0,1553371136,292363533
1786846397,gateway-94bdcf695-9bt4s,0,0,0,0,0,0,0,0,1603112960,307875937
1786846397,gateway-94bdcf695-ccn2t,0,0,0,0,0,0,0,0,1603112960,307875937
1786846397,gateway-94bdcf695-p8pgc,0,0,0,0,0,0,0,0,1603112960,307875937
1786846399,gateway-94bdcf695-9bt4s,0,1.7580032e+07,0.03,47,1.048576e+06,4.562944e+06,30,0,23281664,310008495
1786846399,gateway-94bdcf695-ccn2t,0,1.6928768e+07,0.02,47,1.048576e+06,4.46464e+06,30,0,23281664,310008495
1786846399,gateway-94bdcf695-p8pgc,0,1.9611648e+07,0.03,48,1.048576e+06,5.783552e+06,31,0,23281664,310008495
1786846401,gateway-94bdcf695-9bt4s,0,2.0201472e+07,0.03,48,1.048576e+06,5.513216e+06,31,0,23568384,310123908
1786846401,gateway-94bdcf695-ccn2t,0,1.7190912e+07,0.03,47,1.048576e+06,4.907008e+06,30,0,23568384,310123908
1786846401,gateway-94bdcf695-p8pgc,0,2.0135936e+07,0.03,48,1.048576e+06,5.660672e+06,31,0,23568384,310123908
