unix_s,pod,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_max_fds,gateway_heap_inuse_bytes,gateway_goroutines,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786844955,gateway-7b56658758-2jk44,0,2.039808e+07,0.03,48,1.048576e+06,6.504448e+06,31,0,29065216,3778948673
1786844955,gateway-7b56658758-7xgqw,0,1.8563072e+07,0.03,48,1.048576e+06,5.742592e+06,31,0,29065216,3778948673
1786844955,gateway-7b56658758-nrglc,0,1.921024e+07,0.04,48,1.048576e+06,5.636096e+06,31,0,29065216,3778948673
1786844957,gateway-7b56658758-2jk44,4727,2.183168e+08,1.73,4871,1.048576e+06,1.17956608e+08,14131,0,824655872,3784742988
1786844957,gateway-7b56658758-7xgqw,4859,2.21462528e+08,1.75,5005,1.048576e+06,1.19382016e+08,14392,0,824655872,3784742988
1786844957,gateway-7b56658758-nrglc,4993,2.28438016e+08,1.81,5139,1.048576e+06,1.22642432e+08,14805,0,824655872,3784742988
1786844959,gateway-7b56658758-2jk44,13797,5.9711488e+08,5.14,13942,1.048576e+06,3.16735488e+08,41370,0,1260990464,3792966195
1786844959,gateway-7b56658758-7xgqw,13905,6.1415424e+08,5.11,14048,1.048576e+06,3.32742656e+08,41572,0,1260990464,3792966195
1786844959,gateway-7b56658758-nrglc,14020,6.1822976e+08,5.24,14164,1.048576e+06,3.34594048e+08,41776,0,1260990464,3792966195
1786844961,gateway-7b56658758-2jk44,16780,7.27138304e+08,6.44,16977,1.048576e+06,3.89316608e+08,50363,0,1309061120,3817186019
1786844961,gateway-7b56658758-7xgqw,16832,7.23992576e+08,6.63,17022,1.048576e+06,3.86113536e+08,50518,0,1309061120,3817186019
1786844961,gateway-7b56658758-nrglc,16868,7.26233088e+08,6.55,17069,1.048576e+06,3.86834432e+08,50645,0,1309061120,3817186019
1786844963,gateway-7b56658758-2jk44,19563,8.5006336e+08,7.73,19759,1.048576e+06,4.5719552e+08,58713,0,1459372032,3842472688
1786844963,gateway-7b56658758-7xgqw,19606,8.42682368e+08,7.92,19802,1.048576e+06,4.4957696e+08,58840,0,1459372032,3842472688
1786844963,gateway-7b56658758-nrglc,19638,8.4576256e+08,7.85,19843,1.048576e+06,4.52190208e+08,58957,0,1459372032,3842472688
1786844965,gateway-7b56658758-2jk44,22243,9.70911744e+08,8.88,22427,1.048576e+06,5.25402112e+08,66760,0,1622581248,3867681567
1786844965,gateway-7b56658758-7xgqw,22278,9.61957888e+08,9.07,22470,1.048576e+06,5.163008e+08,66872,0,1622581248,3867681567
