unix_s,pod,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_max_fds,gateway_heap_inuse_bytes,gateway_goroutines,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786845280,gateway-5db47b46f4-84npl,0,1.8763776e+07,0.04,48,1.048576e+06,5.226496e+06,31,0,23986176,95857
1786845280,gateway-5db47b46f4-jlzwd,0,1.9611648e+07,0.04,48,1.048576e+06,6.59456e+06,31,0,23986176,95857
1786845280,gateway-5db47b46f4-nzt6v,0,1.8563072e+07,0.03,48,1.048576e+06,5.832704e+06,31,0,23986176,95857
1786845282,gateway-5db47b46f4-84npl,5440,2.47353344e+08,2.03,5584,1.048576e+06,1.34234112e+08,16031,0,435376128,3507154
1786845282,gateway-5db47b46f4-jlzwd,5567,2.49249792e+08,2.08,5712,1.048576e+06,1.34488064e+08,16353,0,435376128,3507154
1786845282,gateway-5db47b46f4-nzt6v,5715,2.5894912e+08,2.11,5858,1.048576e+06,1.4020608e+08,16891,0,435376128,3507154
1786845284,gateway-5db47b46f4-84npl,14332,6.17762816e+08,5.44,14475,1.048576e+06,3.29515008e+08,42443,0,550895616,7481095
1786845284,gateway-5db47b46f4-jlzwd,14467,6.2726144e+08,5.44,14610,1.048576e+06,3.34635008e+08,43421,0,550895616,7481095
1786845284,gateway-5db47b46f4-nzt6v,14600,6.28281344e+08,5.57,14746,1.048576e+06,3.36764928e+08,43412,0,550895616,7481095
1786845287,gateway-5db47b46f4-84npl,20000,8.67741696e+08,7.49,20143,1.048576e+06,4.64740352e+08,60031,0,684503040,10161553
1786845287,gateway-5db47b46f4-jlzwd,20000,8.7302144e+08,7.41,20143,1.048576e+06,4.71547904e+08,60031,0,684503040,10161553
1786845287,gateway-5db47b46f4-nzt6v,20000,8.6388736e+08,7.55,20143,1.048576e+06,4.61160448e+08,60031,0,684503040,10161553
1786845289,gateway-5db47b46f4-84npl,20000,8.67741696e+08,7.49,20143,1.048576e+06,4.65231872e+08,60031,0,684118016,10304018
1786845289,gateway-5db47b46f4-jlzwd,20000,8.74856448e+08,7.42,20143,1.048576e+06,4.73145344e+08,60031,0,684118016,10304018
1786845289,gateway-5db47b46f4-nzt6v,20000,8.6388736e+08,7.56,20143,1.048576e+06,4.61586432e+08,60031,0,684118016,10304018
1786845291,gateway-5db47b46f4-84npl,20000,8.68265984e+08,7.49,20143,1.048576e+06,4.6563328e+08,60031,0,684699648,10446957
1786845291,gateway-5db47b46f4-jlzwd,20000,8.75380736e+08,7.42,20143,1.048576e+06,4.7353856e+08,60032,0,684699648,10446957
1786845291,gateway-5db47b46f4-nzt6v,20000,8.64149504e+08,7.56,20143,1.048576e+06,4.61930496e+08,60031,0,684699648,10446957
1786845293,gateway-5db47b46f4-84npl,20000,8.68790272e+08,7.52,20143,1.048576e+06,4.65985536e+08,60032,0,683962368,10562682
1786845293,gateway-5db47b46f4-jlzwd,20000,8.7564288e+08,7.44,20143,1.048576e+06,4.73849856e+08,60031,0,683962368,10562682
1786845293,gateway-5db47b46f4-nzt6v,20000,8.65460224e+08,7.6,20143,1.048576e+06,4.63478784e+08,60031,0,683962368,10562682
1786845295,gateway-5db47b46f4-84npl,20000,8.68790272e+08,7.55,20143,1.048576e+06,4.663296e+08,60031,0,684933120,10677022
1786845295,gateway-5db47b46f4-jlzwd,20000,8.75905024e+08,7.48,20143,1.048576e+06,4.74202112e+08,60031,0,684933120,10677022
1786845295,gateway-5db47b46f4-nzt6v,20000,8.65722368e+08,7.62,20143,1.048576e+06,4.63798272e+08,60031,0,684933120,10677022
1786845297,gateway-5db47b46f4-84npl,20000,8.71411712e+08,7.65,20143,1.048576e+06,4.68926464e+08,60031,0,810934272,11206585
1786845297,gateway-5db47b46f4-jlzwd,20000,8.769536e+08,7.57,20143,1.048576e+06,4.75758592e+08,60031,0,810934272,11206585
1786845297,gateway-5db47b46f4-nzt6v,20000,8.67295232e+08,7.72,20143,1.048576e+06,4.65420288e+08,60031,0,810934272,11206585
1786845299,gateway-5db47b46f4-84npl,20000,8.73508864e+08,7.79,20143,1.048576e+06,4.7136768e+08,60031,0,820985856,11647994
1786845299,gateway-5db47b46f4-jlzwd,20000,8.80099328e+08,7.72,20143,1.048576e+06,4.7812608e+08,60031,0,820985856,11647994
1786845299,gateway-5db47b46f4-nzt6v,20000,8.68605952e+08,7.87,20143,1.048576e+06,4.67812352e+08,60032,0,820985856,11647994
1786845301,gateway-5db47b46f4-84npl,20000,8.7586816e+08,7.95,20143,1.048576e+06,4.7378432e+08,60031,0,827559936,12095477
1786845301,gateway-5db47b46f4-jlzwd,20000,8.82458624e+08,7.87,20143,1.048576e+06,4.80526336e+08,60031,0,827559936,12095477
1786845301,gateway-5db47b46f4-nzt6v,20000,8.7175168e+08,8.02,20143,1.048576e+06,4.70204416e+08,60031,0,827559936,12095477
1786845303,gateway-5db47b46f4-84npl,20000,8.78227456e+08,8.09,20143,1.048576e+06,4.76258304e+08,60031,0,837300224,12488094
1786845303,gateway-5db47b46f4-jlzwd,20000,8.8481792e+08,8.01,20143,1.048576e+06,4.8300032e+08,60031,0,837300224,12488094
1786845303,gateway-5db47b46f4-nzt6v,20000,8.7437312e+08,8.17,20143,1.048576e+06,4.72645632e+08,60031,0,837300224,12488094
1786845305,gateway-5db47b46f4-84npl,20000,8.80586752e+08,8.24,20143,1.048576e+06,4.78666752e+08,60031,0,849235968,12887217
1786845305,gateway-5db47b46f4-jlzwd,20000,8.88487936e+08,8.16,20143,1.048576e+06,4.86621184e+08,60031,0,849235968,12887217
1786845305,gateway-5db47b46f4-nzt6v,20000,8.7699456e+08,8.32,20143,1.048576e+06,4.75029504e+08,60031,0,849235968,12887217
1786845308,gateway-5db47b46f4-84npl,20000,8.83994624e+08,8.43,20143,1.048576e+06,4.81083392e+08,60031,0,863600640,13277650
1786845308,gateway-5db47b46f4-jlzwd,20000,8.91109376e+08,8.35,20143,1.048576e+06,4.89005056e+08,60031,0,863600640,13277650
1786845308,gateway-5db47b46f4-nzt6v,20000,8.80140288e+08,8.51,20143,1.048576e+06,4.78633984e+08,60031,0,863600640,13277650
1786845310,gateway-5db47b46f4-84npl,20000,8.8635392e+08,8.65,20143,1.048576e+06,4.83483648e+08,60031,0,878718976,13664560
1786845310,gateway-5db47b46f4-jlzwd,20000,8.95827968e+08,8.91,20143,1.048576e+06,4.63527936e+08,60031,0,878718976,13664560
1786845310,gateway-5db47b46f4-nzt6v,20000,8.82761728e+08,8.72,20143,1.048576e+06,4.81099776e+08,60031,0,878718976,13664560
1786845312,gateway-5db47b46f4-84npl,20000,8.90023936e+08,8.92,20143,1.048576e+06,4.88095744e+08,60032,0,909217792,14053846
1786845312,gateway-5db47b46f4-jlzwd,20000,8.96090112e+08,9.19,20143,1.048576e+06,4.65117184e+08,60032,0,909217792,14053846
1786845312,gateway-5db47b46f4-nzt6v,20000,8.85907456e+08,9,20143,1.048576e+06,4.84687872e+08,60031,0,909217792,14053846
1786845314,gateway-5db47b46f4-84npl,20000,8.97363968e+08,9.3,20143,1.048576e+06,4.94084096e+08,60031,0,979345408,14526040
1786845314,gateway-5db47b46f4-jlzwd,20000,8.96090112e+08,9.56,20143,1.048576e+06,4.67632128e+08,60031,0,979345408,14526040
1786845314,gateway-5db47b46f4-nzt6v,20000,8.927232e+08,9.37,20143,1.048576e+06,4.90684416e+08,60031,0,979345408,14526040
1786845316,gateway-5db47b46f4-84npl,20000,9.03917568e+08,9.67,20143,1.048576e+06,4.99900416e+08,60031,0,1040412672,14958007
1786845316,gateway-5db47b46f4-jlzwd,20000,8.96090112e+08,9.93,20143,1.048576e+06,4.70605824e+08,60031,0,1040412672,14958007
1786845316,gateway-5db47b46f4-nzt6v,20000,8.99014656e+08,9.74,20143,1.048576e+06,4.96345088e+08,60031,0,1040412672,14958007
1786845318,gateway-5db47b46f4-84npl,20000,9.07063296e+08,9.84,20143,1.048576e+06,5.023744e+08,60031,0,1046319104,15335270
