unix_s,pod,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_max_fds,gateway_heap_inuse_bytes,gateway_goroutines,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786845831,gateway-796c94d8cf-hgjcg,0,1.902592e+07,0.03,48,1.048576e+06,5.881856e+06,32,0,39264256,185076347
1786845831,gateway-796c94d8cf-k2fft,0,2.039808e+07,0.04,48,1.048576e+06,6.619136e+06,31,0,39264256,185076347
1786845831,gateway-796c94d8cf-tgdtc,0,1.9873792e+07,0.03,48,1.048576e+06,5.36576e+06,31,0,39264256,185076347
1786845833,gateway-796c94d8cf-hgjcg,5422,2.47615488e+08,1.98,5567,1.048576e+06,1.33881856e+08,16072,0,590774272,188702906
1786845833,gateway-796c94d8cf-k2fft,5555,2.52919808e+08,2.06,5698,1.048576e+06,1.37732096e+08,16125,0,590774272,188702906
1786845833,gateway-796c94d8cf-tgdtc,5702,2.59997696e+08,2.08,5848,1.048576e+06,1.40746752e+08,16915,0,590774272,188702906
1786845835,gateway-796c94d8cf-hgjcg,14234,6.12728832e+08,5.41,14380,1.048576e+06,3.27335936e+08,42372,0,775835648,193080095
1786845835,gateway-796c94d8cf-k2fft,14374,6.2070784e+08,5.43,14519,1.048576e+06,3.29695232e+08,42824,0,775835648,193080095
1786845835,gateway-796c94d8cf-tgdtc,14522,6.25164288e+08,5.51,14666,1.048576e+06,3.32496896e+08,43274,0,775835648,193080095
1786845837,gateway-796c94d8cf-hgjcg,23459,1.019875328e+09,8.72,23604,1.048576e+06,5.50641664e+08,70330,0,971919360,197199690
1786845837,gateway-796c94d8cf-k2fft,23576,1.02213632e+09,8.82,23772,1.048576e+06,5.5390208e+08,69840,0,971919360,197199690
1786845837,gateway-796c94d8cf-tgdtc,23731,1.03278592e+09,8.79,23875,1.048576e+06,5.56163072e+08,71221,0,971919360,197199690
