unix_s,pod,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_max_fds,gateway_heap_inuse_bytes,gateway_goroutines,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786845643,gateway-68ffbd74bc-bv8lh,0,1.941504e+07,0.04,48,1.048576e+06,5.455872e+06,31,0,25391104,94968083
1786845643,gateway-68ffbd74bc-q85l7,0,1.9873792e+07,0.04,48,1.048576e+06,5.554176e+06,31,0,25391104,94968083
1786845643,gateway-68ffbd74bc-s9v8s,0,1.9550208e+07,0.03,48,1.048576e+06,5.455872e+06,31,0,25391104,94968083
1786845645,gateway-68ffbd74bc-bv8lh,5392,2.4223744e+08,2.02,5537,1.048576e+06,1.3164544e+08,15791,0,546091008,98600564
1786845645,gateway-68ffbd74bc-q85l7,5457,2.49511936e+08,2.06,5600,1.048576e+06,1.32481024e+08,16402,0,546091008,98600564
1786845645,gateway-68ffbd74bc-s9v8s,5738,2.58363392e+08,2.1,5934,1.048576e+06,1.4012416e+08,17010,0,546091008,98600564
1786845647,gateway-68ffbd74bc-bv8lh,14581,6.28113408e+08,5.43,14727,1.048576e+06,3.36625664e+08,43332,0,694120448,102760371
1786845647,gateway-68ffbd74bc-q85l7,14731,6.38533632e+08,5.46,14874,1.048576e+06,3.418112e+08,43837,0,694120448,102760371
1786845647,gateway-68ffbd74bc-s9v8s,14881,6.4315392e+08,5.48,15024,1.048576e+06,3.43867392e+08,44486,0,694120448,102760371
1786845649,gateway-68ffbd74bc-bv8lh,23381,9.96921344e+08,8.87,23527,1.048576e+06,5.32897792e+08,69694,0,881373184,106839697
1786845649,gateway-68ffbd74bc-q85l7,23532,1.005535232e+09,8.94,23677,1.048576e+06,5.34315008e+08,70333,0,881373184,106839697
1786845649,gateway-68ffbd74bc-s9v8s,23676,1.010294784e+09,8.94,23820,1.048576e+06,5.37673728e+08,70819,0,881373184,106839697
1786845651,gateway-68ffbd74bc-bv8lh,29303,1.254109184e+09,11.14,29597,1.048576e+06,6.69679616e+08,88004,0,997629952,115383989
1786845651,gateway-68ffbd74bc-q85l7,29356,1.259229184e+09,11.17,29642,1.048576e+06,6.72579584e+08,88130,0,997629952,115383989
1786845651,gateway-68ffbd74bc-s9v8s,29542,1.260978176e+09,11.2,29757,1.048576e+06,6.72768e+08,88624,0,997629952,115383989
1786845654,gateway-68ffbd74bc-bv8lh,32059,1.376268288e+09,12.28,32310,1.048576e+06,7.39172352e+08,96204,0,1083887616,130186878
1786845654,gateway-68ffbd74bc-q85l7,32286,1.389776896e+09,12.39,32546,1.048576e+06,7.4661888e+08,96898,0,1083887616,130186878
1786845654,gateway-68ffbd74bc-s9v8s,32508,1.394147328e+09,12.47,32747,1.048576e+06,7.48355584e+08,97535,0,1083887616,130186878
1786845656,gateway-68ffbd74bc-bv8lh,34817,1.501048832e+09,14.11,35022,1.048576e+06,7.872512e+08,104480,0,1144233984,146527444
1786845657,gateway-68ffbd74bc-q85l7,35000,1.488080896e+09,14.19,35143,1.048576e+06,7.90192128e+08,104939,0,1144233984,146527444
1786845657,gateway-68ffbd74bc-s9v8s,35000,1.49323776e+09,14.21,35143,1.048576e+06,7.89446656e+08,105031,0,1144233984,146527444
1786845659,gateway-68ffbd74bc-bv8lh,35000,1.501310976e+09,14.2,35143,1.048576e+06,7.90511616e+08,105031,0,1139838976,148035551
1786845659,gateway-68ffbd74bc-q85l7,35000,1.489391616e+09,14.23,35143,1.048576e+06,7.90454272e+08,105031,0,1139838976,148035551
1786845659,gateway-68ffbd74bc-s9v8s,35000,1.49323776e+09,14.24,35143,1.048576e+06,7.89643264e+08,105031,0,1139838976,148035551
1786845661,gateway-68ffbd74bc-bv8lh,35000,1.501310976e+09,14.23,35143,1.048576e+06,7.90798336e+08,105031,0,1139224576,148162370
1786845661,gateway-68ffbd74bc-q85l7,35000,1.48965376e+09,14.25,35143,1.048576e+06,7.90683648e+08,105031,0,1139224576,148162370
1786845661,gateway-68ffbd74bc-s9v8s,35000,1.494024192e+09,14.26,35143,1.048576e+06,7.9085568e+08,105031,0,1139224576,148162370
1786845663,gateway-68ffbd74bc-bv8lh,35000,1.501310976e+09,14.25,35143,1.048576e+06,7.90986752e+08,105031,0,1138970624,148284237
1786845663,gateway-68ffbd74bc-q85l7,35000,1.48965376e+09,14.27,35143,1.048576e+06,7.90880256e+08,105031,0,1138970624,148284237
1786845663,gateway-68ffbd74bc-s9v8s,35000,1.494024192e+09,14.28,35143,1.048576e+06,7.91068672e+08,105031,0,1138970624,148284237
1786845665,gateway-68ffbd74bc-bv8lh,35000,1.501835264e+09,14.27,35143,1.048576e+06,7.92199168e+08,105031,0,1140436992,148400374
1786845665,gateway-68ffbd74bc-q85l7,35000,1.489915904e+09,14.29,35143,1.048576e+06,7.91257088e+08,105031,0,1140436992,148400374
1786845665,gateway-68ffbd74bc-s9v8s,35000,1.494024192e+09,14.31,35143,1.048576e+06,7.91248896e+08,105031,0,1140436992,148400374
1786845667,gateway-68ffbd74bc-bv8lh,35000,1.501835264e+09,14.36,35143,1.048576e+06,7.9282176e+08,105031,0,1350651904,149025119
1786845667,gateway-68ffbd74bc-q85l7,35000,1.490702336e+09,14.39,35143,1.048576e+06,7.91986176e+08,105031,0,1350651904,149025119
1786845667,gateway-68ffbd74bc-s9v8s,35000,1.494024192e+09,14.4,35143,1.048576e+06,7.92018944e+08,105031,0,1350651904,149025119
1786845669,gateway-68ffbd74bc-bv8lh,35000,1.501835264e+09,14.6,35143,1.048576e+06,7.9478784e+08,105031,0,1368707072,149526019
1786845669,gateway-68ffbd74bc-q85l7,35000,1.492799488e+09,14.63,35143,1.048576e+06,7.93985024e+08,105031,0,1368707072,149526019
1786845669,gateway-68ffbd74bc-s9v8s,35000,1.494024192e+09,14.64,35143,1.048576e+06,7.94034176e+08,105031,0,1368707072,149526019
1786845671,gateway-68ffbd74bc-bv8lh,35000,1.501835264e+09,14.85,35143,1.048576e+06,7.96811264e+08,105031,0,1382735872,150038507
1786845671,gateway-68ffbd74bc-q85l7,35000,1.49489664e+09,14.89,35143,1.048576e+06,7.96000256e+08,105031,0,1382735872,150038507
1786845671,gateway-68ffbd74bc-s9v8s,35000,1.494810624e+09,14.89,35143,1.048576e+06,7.96008448e+08,105031,0,1382735872,150038507
1786845673,gateway-68ffbd74bc-bv8lh,35000,1.501835264e+09,15.1,35143,1.048576e+06,7.98851072e+08,105031,0,1399562240,150543835
1786845673,gateway-68ffbd74bc-q85l7,35000,1.49620736e+09,15.14,35143,1.048576e+06,7.97999104e+08,105031,0,1399562240,150543835
1786845674,gateway-68ffbd74bc-s9v8s,35000,1.496383488e+09,15.15,35143,1.048576e+06,7.981056e+08,105031,0,1399562240,150543835
1786845676,gateway-68ffbd74bc-bv8lh,35000,1.502097408e+09,15.52,35143,1.048576e+06,8.01947648e+08,105031,0,1462300672,151094813
1786845676,gateway-68ffbd74bc-q85l7,35000,1.499615232e+09,15.57,35143,1.048576e+06,8.01144832e+08,105031,0,1462300672,151094813
