unix_s,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_heap_inuse_bytes,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786790276,0,2.0082688e+07,0.05,48,5.603328e+06,0,130002944,153384193
1786790278,6909,3.11062528e+08,1.68,7051,1.68566784e+08,0,347070464,157336372
1786790280,13883,6.07023104e+08,3.69,14026,3.21888256e+08,0,445628416,160835981
1786790282,15000,6.48966144e+08,4.01,15143,3.44317952e+08,0,465260544,163352095
1786790284,15000,6.49752576e+08,4.01,15143,3.45464832e+08,0,464531456,163406118
1786790286,15000,6.5001472e+08,4.01,15143,3.45636864e+08,0,464744448,163451032
1786790288,15000,6.5001472e+08,4.03,15143,3.45890816e+08,0,465383424,163479832
1786790290,15000,6.50276864e+08,4.05,15143,3.46021888e+08,0,464859136,163509435
1786790292,15000,6.51063296e+08,4.14,15143,3.46906624e+08,0,522809344,163783830
1786790294,15000,6.51849728e+08,4.21,15143,3.47824128e+08,0,531427328,163931171
1786790296,15000,6.52898304e+08,4.28,15143,3.49118464e+08,0,538697728,164080628
1786790298,15000,6.5394688e+08,4.36,15143,3.50388224e+08,0,545792000,164233573
1786790300,15000,6.55519744e+08,4.45,15143,3.52198656e+08,0,555634688,164383605
1786790302,15000,6.57354752e+08,4.59,15143,3.53828864e+08,0,563236864,164534960
1786790304,15000,6.58665472e+08,4.73,15143,3.5536896e+08,0,570064896,164700092
1786790306,15000,6.6050048e+08,4.87,15143,3.56990976e+08,0,577552384,164848029
1786790308,15000,6.64956928e+08,5.12,15143,3.61259008e+08,0,616034304,165100634
1786790310,15000,6.70461952e+08,5.38,15143,3.6610048e+08,0,651325440,165385918
1786790312,15000,6.7229696e+08,5.48,15143,3.6790272e+08,0,655691776,165964245
1786790314,15000,6.74394112e+08,5.58,15143,3.70057216e+08,0,651186176,166134793
1786790316,15000,6.7622912e+08,5.69,15143,3.71982336e+08,0,647327744,166317241
1786790318,15000,6.78326272e+08,5.89,15143,3.74063104e+08,0,643997696,166492925
1786790320,15000,6.79636992e+08,6.09,15143,3.76029184e+08,0,639549440,166665347
1786790322,15000,6.81996288e+08,6.29,15143,3.78028032e+08,0,635707392,166877115
1786790324,15000,6.8409344e+08,6.5,15143,3.80346368e+08,0,631504896,167085698
1786790326,15000,6.86452736e+08,6.73,15143,3.82533632e+08,0,627560448,167306366
