unix_s,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_heap_inuse_bytes,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786790328,15000,6.8933632e+08,6.95,15143,3.85400832e+08,0,621887488,167492524
1786790330,15000,6.92482048e+08,7.19,15143,3.87719168e+08,0,618340352,167706307
1786790332,15000,6.94841344e+08,7.43,15143,3.90438912e+08,0,614883328,167936416
1786790334,15000,6.97724928e+08,7.68,15143,3.9317504e+08,0,609964032,168151678
1786790336,15000,7.01394944e+08,7.98,15143,3.9661568e+08,0,612638720,168381738
1786790338,15000,7.08734976e+08,8.41,15143,4.02669568e+08,0,639275008,168682584
1786790340,15000,7.14764288e+08,8.76,15143,4.0808448e+08,0,660013056,168963345
1786790342,15000,7.17647872e+08,8.97,15143,4.1111552e+08,0,655384576,169172328
1786790345,15000,7.20531456e+08,9.19,15143,4.14220288e+08,0,651968512,169392775
1786790347,15000,7.23939328e+08,9.41,15143,4.17144832e+08,0,649601024,169613562
1786790349,15000,7.27085056e+08,9.7,15143,4.20175872e+08,0,644395008,169842038
1786790351,15000,7.29706496e+08,9.97,15143,4.23026688e+08,0,640991232,170024211
1786790353,15000,7.3259008e+08,10.21,15143,4.25787392e+08,0,636653568,170210348
1786790355,15000,7.35473664e+08,10.45,15143,4.28392448e+08,0,632049664,170421158
1786790357,15000,7.38095104e+08,10.69,15143,4.31169536e+08,0,627691520,170601338
1786790359,15000,7.40978688e+08,10.92,15143,4.34249728e+08,0,625586176,170800881
1786790361,15000,7.43862272e+08,11.16,15143,4.36830208e+08,0,626827264,170996834
1786790363,15000,7.46745856e+08,11.38,15143,4.395008e+08,0,625758208,171183835
1786790365,15000,7.48843008e+08,11.6,15143,4.42114048e+08,0,625475584,171365966
1786790367,15000,7.53037312e+08,11.88,15143,4.45956096e+08,0,637194240,171588010
1786790369,15000,7.60901632e+08,12.47,15143,3.45341952e+08,0,667176960,171865916
1786790371,15000,7.60901632e+08,12.74,15143,3.46783744e+08,0,684740608,172114716
1786790373,15000,7.60901632e+08,12.92,15143,3.47684864e+08,0,683200512,172333026
1786790375,15000,7.61163776e+08,13.08,15143,3.48962816e+08,0,683446272,172549428
1786790377,15000,7.61163776e+08,13.27,15143,3.50281728e+08,0,682749952,172737240
1786790379,15000,7.6142592e+08,13.52,15143,3.5180544e+08,0,682381312,172933784
1786790381,14562,7.61688064e+08,13.79,14705,3.53501184e+08,0,678760448,173184115
1786790383,13550,7.61688064e+08,14.12,13693,3.55565568e+08,0,670740480,173425072
1786790385,12537,7.61688064e+08,14.44,12680,3.58105088e+08,0,661811200,173695629
1786790387,11525,7.61688064e+08,14.75,11668,3.6077568e+08,0,654008320,173935423
1786790389,10513,7.61688064e+08,15.06,10656,3.63675648e+08,0,644345856,174177091
1786790391,9501,7.61688064e+08,15.35,9644,3.66444544e+08,0,636473344,174414804
1786790393,8489,7.61688064e+08,15.62,8632,3.69344512e+08,0,627978240,174647481
1786790395,7476,7.61688064e+08,15.88,7619,3.72260864e+08,0,620191744,174882800
1786790397,6464,7.61688064e+08,16.14,6607,3.75185408e+08,0,611491840,175118935
1786790399,5452,7.61688064e+08,16.51,5595,3.79240448e+08,0,615788544,175374713
1786790401,4440,7.61688064e+08,16.86,4583,3.83238144e+08,0,619220992,175637920
1786790403,3428,7.61950208e+08,17.15,3571,3.86629632e+08,0,611311616,175887693
1786790405,2416,7.61950208e+08,17.41,2559,3.89718016e+08,0,603234304,176131817
1786790407,1403,7.61950208e+08,17.68,1546,3.92732672e+08,0,593891328,176370885
1786790409,391,7.61950208e+08,17.95,534,3.95722752e+08,0,585990144,176609687
