unix_s,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_heap_inuse_bytes,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786790780,0,2.0381696e+08,48.69,143,3.9542784e+07,0,21979136,129011
1786790782,7804,3.93347072e+08,50.46,7947,2.01187328e+08,0,311476224,5417028
1786790784,15321,6.9926912e+08,52.46,15464,3.55016704e+08,0,428425216,12075791
1786790786,18762,8.3709952e+08,54.49,18905,4.24091648e+08,0,457031680,21336084
1786790788,21277,9.35657472e+08,56.49,21414,4.74587136e+08,0,513146880,28252285
1786790790,0,0,0,0,0,0,678084608,37120935
