unix_s,pod,ws_connections,gateway_rss_bytes,gateway_cpu_seconds,gateway_open_fds,gateway_max_fds,gateway_heap_inuse_bytes,gateway_goroutines,gateway_closed_total,loadgen_memory_bytes,loadgen_cpu_usec
1786846166,gateway-78665454cb-28xw9,0,2.0074496e+07,0.04,48,1.048576e+06,6.569984e+06,31,0,24399872,95421
1786846166,gateway-78665454cb-5r8jq,0,2.0082688e+07,0.04,48,1.048576e+06,6.496256e+06,31,0,24399872,95421
1786846166,gateway-78665454cb-xvf2z,0,1.8038784e+07,0.03,48,1.048576e+06,5.808128e+06,32,0,24399872,95421
1786846168,gateway-78665454cb-28xw9,4771,2.20352512e+08,1.71,4915,1.048576e+06,1.20365056e+08,14070,0,650424320,3676629
1786846168,gateway-78665454cb-5r8jq,4913,2.23768576e+08,1.83,5057,1.048576e+06,1.2058624e+08,14427,0,650424320,3676629
1786846168,gateway-78665454cb-xvf2z,5045,2.29064704e+08,1.84,5190,1.048576e+06,1.236992e+08,14830,0,650424320,3676629
1786846170,gateway-78665454cb-28xw9,13673,5.9312128e+08,5.13,13818,1.048576e+06,3.14974208e+08,41038,0,798539776,7803242
1786846170,gateway-78665454cb-5r8jq,13800,5.9705344e+08,5.27,13947,1.048576e+06,3.1920128e+08,40949,0,798539776,7803242
1786846170,gateway-78665454cb-xvf2z,13947,6.0235776e+08,5.32,14092,1.048576e+06,3.23149824e+08,41349,0,798539776,7803242
1786846172,gateway-78665454cb-28xw9,22858,9.9026944e+08,8.6,22996,1.048576e+06,5.37485312e+08,67575,0,973803520,12150771
1786846172,gateway-78665454cb-5r8jq,22975,9.97085184e+08,8.61,23119,1.048576e+06,5.35379968e+08,68955,0,973803520,12150771
1786846172,gateway-78665454cb-xvf2z,23092,1.000583168e+09,8.63,23236,1.048576e+06,5.38165248e+08,69305,0,973803520,12150771
1786846174,gateway-78665454cb-28xw9,29039,1.236946944e+09,11.02,29278,1.048576e+06,6.57973248e+08,87165,0,1071702016,19650694
1786846175,gateway-78665454cb-5r8jq,29327,1.254096896e+09,11.4,29526,1.048576e+06,6.68172288e+08,87869,0,1071702016,19650694
